 P35875	9	3R	-	3461351	3587054	FBtr0113885	6	3112	FBgn0010247	Parp	20.607738	25.284622

 P09040	36	3R	-	4189692	4190260	FBtr0078989	1	569	FBgn0000500	Dsk	0.000000	0.000000

 Q9VMY9	50	3R	-	4227387	4229238	FBtr0078986	5	1590	FBgn0261436	DhpD	0.000000	0.000000

 Q9V3C0	52	3R	+	4233047	4235041	FBtr0078967	1	1995	FBgn0015331	abs	32.944862	40.421635

 Q07171	53	3R	+	4235217	4241057	FBtr0078968	8	2836	FBgn0010225	Gel	0.000000	0.000000

 Q07171	54	3R	+	4235217	4241057	FBtr0078969	10	2940	FBgn0010225	Gel	0.000000	0.000000

 Q07171	55	3R	+	4235217	4241057	FBtr0078973	8	2807	FBgn0010225	Gel	0.000000	0.000000

 Q07171	56	3R	+	4235217	4241057	FBtr0309256	9	2897	FBgn0010225	Gel	0.000000	0.000000

 Q07171	57	3R	+	4235217	4241057	FBtr0336707	7	2584	FBgn0010225	Gel	0.000000	0.000000

 Q07171	58	3R	+	4236788	4241057	FBtr0078971	7	2628	FBgn0010225	Gel	0.000000	0.000000

 Q07171	59	3R	+	4236788	4241057	FBtr0309257	8	2839	FBgn0010225	Gel	0.000000	0.000000

 P82986	72	3R	+	4256972	4258444	FBtr0078977	6	1158	FBgn0041621	Or82a	0.000000	0.000000

 Q8IPM8	77	3R	+	4280221	4301541	FBtr0078897	7	3628	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	78	3R	+	4280221	4304604	FBtr0336482	5	9682	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	79	3R	+	4280385	4301541	FBtr0078898	7	3577	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	80	3R	+	4280385	4301541	FBtr0078899	7	3930	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	81	3R	+	4280385	4301541	FBtr0301768	7	5137	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	82	3R	+	4280385	4301541	FBtr0301769	7	3538	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	83	3R	+	4281705	4301541	FBtr0078900	7	3650	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	84	3R	+	4281705	4304604	FBtr0078902	6	2888	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	85	3R	+	4281838	4301541	FBtr0113338	7	3649	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	86	3R	+	4281838	4301541	FBtr0113340	7	3576	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	87	3R	+	4281838	4301541	FBtr0301770	7	3561	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	88	3R	+	4282164	4301541	FBtr0113341	7	3634	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	89	3R	+	4282164	4301541	FBtr0300789	8	3655	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	90	3R	+	4282164	4304604	FBtr0301771	6	8078	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	91	3R	+	4282625	4301541	FBtr0078901	6	3541	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	92	3R	+	4282625	4301541	FBtr0301772	7	3544	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	93	3R	+	4291738	4296962	FBtr0310506	3	2094	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	94	3R	+	4291738	4301541	FBtr0100500	5	3682	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	95	3R	+	4291738	4301541	FBtr0113337	5	3485	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	96	3R	+	4291738	4304604	FBtr0310614	5	3803	FBgn0041605	cpx	0.000000	0.000000

 Q8IPM8	98	3R	+	4294862	4301541	FBtr0100499	5	3233	FBgn0041605	cpx	0.000000	0.000000

 A0A126GUP6	101	3R	+	4307908	4309835	FBtr0078903	4	1468	FBgn0027930	MP1	0.000000	0.000000

 A0A126GUP6	102	3R	+	4307908	4309835	FBtr0300936	4	1495	FBgn0027930	MP1	0.000000	0.000000

 Q9VN03	104	3R	+	4311555	4314372	FBtr0273009	6	2530	FBgn0037232	CG9791	0.000000	0.000000

 Q9V468	112	3R	-	4327814	4334071	FBtr0078955	7	4135	FBgn0027866	CG9776	67.701637	83.066391

 Q9V468	113	3R	-	4328057	4331046	FBtr0078956	3	2172	FBgn0027866	CG9776	0.000000	0.000000

 Q9VN12	120	3R	+	4359883	4366855	FBtr0332449	5	3813	FBgn0037238	CG1090	0.000000	0.000000

 Q9VN12	121	3R	+	4359883	4366855	FBtr0335201	7	3233	FBgn0037238	CG1090	0.000000	0.000000

 Q9VN12	122	3R	+	4359883	4366855	FBtr0335202	7	2913	FBgn0037238	CG1090	0.000000	0.000000

 Q9VN12	123	3R	+	4359883	4366855	FBtr0335203	7	3446	FBgn0037238	CG1090	0.000000	0.000000

 Q9VN13	125	3R	+	4378600	4381210	FBtr0078913	7	1365	FBgn0037239	CG11739	0.000000	0.000000

 Q9VN13	126	3R	+	4378600	4381210	FBtr0078914	7	1645	FBgn0037239	CG11739	0.000000	0.000000

 Q9VN13	127	3R	+	4378925	4381210	FBtr0078915	7	1320	FBgn0037239	CG11739	0.000000	0.000000

 Q9VN13	128	3R	+	4379307	4381210	FBtr0078916	6	1378	FBgn0037239	CG11739	0.000000	0.000000

 Q9VN14	129	3R	+	4381306	4387018	FBtr0078917	8	4742	FBgn0037240	Cont	0.000000	0.000000

 P22812	130	3R	+	4387742	4389813	FBtr0302338	2	2006	FBgn0003882	tub	0.000000	0.000000

 Q9VN19	141	3R	-	4398381	4400009	FBtr0344215	3	1508	FBgn0086605	CG9853	2.073058	2.543534

 Q9VN19	142	3R	-	4398558	4400009	FBtr0078949	3	1331	FBgn0086605	CG9853	37.098038	45.517365

